ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,P_TOTAL
15,México,118,Zinacantepec,115,La Joya,-9945320,1916350,3800
16,Michoacán de Ocampo,46,Juárez,18,Santa Ana de Guerrero (El Cascabel),-10026290,1916350,1158
15,México,118,Zinacantepec,3,Rancho las Ánimas,-9944520,1916360,595
16,Michoacán de Ocampo,82,Tacámbaro,101,Serrano,-10130270,1916370,517
15,México,118,Zinacantepec,53,San Antonio Acahualco,-9946280,1916380,16442
6,Colima,5,Cuauhtémoc,21,San Joaquín,-10338460,1916380,492
30,Veracruz de Ignacio de la Llave,126,Paso de Ovejas,18,El Hatito,-9623370,1916390,1324
21,Puebla,58,Chilchotla,2,Acocomotla,-9713020,1916390,760
29,Tlaxcala,33,Tlaxcala,16,Santa María Acuitlapilco,-9814090,1916390,13386
29,Tlaxcala,49,SAN DAMIÁN TEXÓLOC,1,San Damián Texoloc,-9817020,1916390,5033
15,México,62,Ocoyoacac,16,Ejido la Campana,-9927470,1916390,340
15,México,62,Ocoyoacac,11,San Antonio el Llanito,-9929420,1916390,1102
29,Tlaxcala,23,Natívitas,21,San Francisco Tenexyecac,-9818550,1916410,815
21,Puebla,58,Chilchotla,8,Ignacio Zaragoza,-9711580,1916440,1004
29,Tlaxcala,33,Tlaxcala,10,San Diego Metepec,-9815240,1916450,3349
29,Tlaxcala,19,Tepetitla de Lardizábal,7,San Mateo Ayecac,-9823420,1916450,3366
30,Veracruz de Ignacio de la Llave,24,Tlaltetela,16,Rincón de Poxtla,-9655330,1916460,535
21,Puebla,116,Quimixtlán,2,Ahuacapan,-9708120,1916470,563
29,Tlaxcala,19,Tepetitla de Lardizábal,4,Guadalupe Victoria,-9823080,1916480,855
15,México,54,Metepec,37,San Jerónimo Chicahualco,-9935130,1916480,26281
16,Michoacán de Ocampo,49,Madero,96,San Diego Curucupatzeo,-10107410,1916500,480
15,México,7,Amanalco,15,San Mateo,-10000540,1916510,1750
16,Michoacán de Ocampo,87,Taretan,5,El Hoyo del Aire,-10152180,1916510,379
6,Colima,5,Cuauhtémoc,23,El Trapiche,-10339360,1916510,2851
15,México,62,Ocoyoacac,7,Jajalpa (Fraccionamiento Ex-Hacienda de Jajalpa),-9927020,1916520,370
14,Jalisco,43,La Huerta,62,La Manzanilla,-10447150,1916520,1305
29,Tlaxcala,10,Chiautempan,5,San Pedro Muñoztla,-9809590,1916530,3411
15,México,32,Donato Guerra,18,Santiago Huitlapaltepec,-10012310,1916540,1766
15,México,118,Zinacantepec,37,Cerro del Murciélago,-9945170,1916550,1079
15,México,41,Ixtapan del Oro,13,La Mesa de San Martín,-10015590,1916550,337
21,Puebla,116,Quimixtlán,21,Tepatzin,-9706440,1916570,382
21,Puebla,108,Oriental,35,Nuevo Centro de Población Tlachichuca,-9734100,1916570,825
15,México,118,Zinacantepec,87,Barrio de México,-9949420,1916570,7414
30,Veracruz de Ignacio de la Llave,16,La Antigua,11,La Pureza,-9618580,1916580,866
15,México,76,San Mateo Atenco,27,Barrio de San Pedro,-9931260,1916580,300
15,México,118,Zinacantepec,112,La Cañada (Cañada Grande),-9946530,1916580,793
30,Veracruz de Ignacio de la Llave,162,Tenampa,6,Xopilapa,-9646310,1916590,357
15,México,118,Zinacantepec,10,Colonia la Deportiva Rancho Viejo,-9942200,1916590,1261
15,México,118,Zinacantepec,14,El Cóporo,-9950070,1916590,6068
30,Veracruz de Ignacio de la Llave,188,Totutla,15,El Retiro,-9652330,1917000,320
15,México,118,Zinacantepec,31,Loma de San Francisco,-9948330,1917000,1252
16,Michoacán de Ocampo,99,Tuzantla,115,Taracatío,-10035130,1917010,380
29,Tlaxcala,23,Natívitas,17,San Vicente Xiloxochitla,-9818550,1917030,2418
15,México,7,Amanalco,25,El Capulín Tercera Sección (Palo Mancornado),-9955110,1917030,515
29,Tlaxcala,13,Huamantla,2,Colonia Altamira Guadalupe,-9759000,1917050,412
29,Tlaxcala,10,Chiautempan,12,San Pedro Tlalcuapan de Nicolás Bravo,-9809390,1917050,3613
6,Colima,7,Manzanillo,16,Los Cedros,-10414220,1917050,567
30,Veracruz de Ignacio de la Llave,126,Paso de Ovejas,1,Paso de Ovejas,-9626190,1917060,7468
15,México,118,Zinacantepec,1,San Miguel Zinacantepec,-9944060,1917060,54220
21,Puebla,132,San Martín Texmelucan,1,San Martín Texmelucan de Labastida,-9826010,1917070,75518
29,Tlaxcala,33,Tlaxcala,15,San Sebastián Atlahapa,-9813220,1917080,5086
15,México,51,Lerma,1,Lerma de Villada,-9930420,1917080,22713
16,Michoacán de Ocampo,83,Tancítaro,77,Rancho Nuevo,-10214470,1917080,343
21,Puebla,58,Chilchotla,16,La Trinidad,-9712490,1917090,934
15,México,51,Lerma,2,Amomolulco,-9929200,1917090,832
30,Veracruz de Ignacio de la Llave,24,Tlaltetela,40,El Trópico,-9656470,1917100,328
15,México,62,Ocoyoacac,4,Colonia Juárez (Los Chirinos),-9927570,1917100,1300
16,Michoacán de Ocampo,82,Tacámbaro,39,El Durazno,-10127000,1917110,297
9,Distrito Federal,11,Tláhuac,110,La Ciénega,-9901320,1917120,376
16,Michoacán de Ocampo,82,Tacámbaro,85,San Antonio de Viña,-10127580,1917120,421
9,Distrito Federal,8,La Magdalena Contreras,83,El Gavillero,-9914530,1917130,305
16,Michoacán de Ocampo,9,Ario,65,Nuevo de Chuén,-10144030,1917140,353
23,Quintana Roo,2,Felipe Carrillo Puerto,6,Ignacio Manuel Altamirano,-8834290,1917150,574
21,Puebla,128,San José Chiapa,11,Nuevo Vicencio,-9741080,1917150,581
15,México,62,Ocoyoacac,5,Colonia Ortiz Rubio (Jajalpa),-9927020,1917150,399
16,Michoacán de Ocampo,81,Susupuato,11,Copándaro (Santiago),-10021050,1917160,480
16,Michoacán de Ocampo,9,Ario,71,Palma de Altamira (Palma de Juárez),-10135280,1917160,986
16,Michoacán de Ocampo,83,Tancítaro,59,Uringüitiro,-10225090,1917160,678
16,Michoacán de Ocampo,83,Tancítaro,36,La Lagunilla,-10220480,1917170,354
21,Puebla,116,Quimixtlán,24,Tlamoloaxtla,-9705070,1917180,505
23,Quintana Roo,2,Felipe Carrillo Puerto,118,Petcacab,-8813300,1917200,812
4,Campeche,2,Campeche,312,Kikab,-9012330,1917200,509
21,Puebla,58,Chilchotla,6,Emiliano Zapata (San Isidro),-9712030,1917200,390
15,México,51,Lerma,62,Fraccionamiento y Club de Golf los Encinos,-9928480,1917210,1769
16,Michoacán de Ocampo,83,Tancítaro,53,Santa Catarina,-10223270,1917220,1003
21,Puebla,116,Quimixtlán,11,Jesús María Comalapa,-9700370,1917230,658
30,Veracruz de Ignacio de la Llave,134,Puente Nacional,9,El Coyolar,-9636510,1917240,390
15,México,32,Donato Guerra,17,San Simón de la Laguna,-10004420,1917240,4996
15,México,7,Amanalco,22,Pueblo Nuevo,-10001450,1917260,611
4,Campeche,4,Champotón,521,Villamar,-9046220,1917270,460
21,Puebla,67,Guadalupe Victoria,1,Guadalupe Victoria,-9720310,1917290,10035
29,Tlaxcala,13,Huamantla,16,Ignacio Zaragoza,-9755120,1917290,6916
29,Tlaxcala,19,Tepetitla de Lardizábal,9,Villa Alta,-9824000,1917290,5974
15,México,62,Ocoyoacac,17,Río Hondito,-9926070,1917290,699
21,Puebla,132,San Martín Texmelucan,13,San Rafael Tlanalapan,-9828050,1917300,15998
15,México,122,Valle de Chalco Solidaridad,1,Xico,-9856200,1917300,356352
15,México,51,Lerma,61,Colonia Guadalupe la Ciénega,-9930200,1917300,1002
15,México,118,Zinacantepec,17,El Curtidor,-9950060,1917300,2301
21,Puebla,116,Quimixtlán,23,Tlamanca,-9706420,1917310,551
21,Puebla,180,Tlahuapan,15,San Rafael Ixtapalucan,-9833440,1917310,4379
15,México,118,Zinacantepec,67,Santa María del Monte,-9949160,1917310,3922
16,Michoacán de Ocampo,102,Uruapan,103,El Sabino,-10158180,1917310,627
16,Michoacán de Ocampo,83,Tancítaro,17,Condémbaro,-10218130,1917310,1335
29,Tlaxcala,15,Ixtacuixtla de Mariano Matamoros,31,Santa Inés Tecuexcomac,-9820490,1917320,3041
15,México,106,Toluca,1,Toluca de Lerdo,-9939140,1917320,489333
15,México,5,Almoloya de Juárez,32,San Francisco Tlalcilalcalpan,-9946080,1917320,16509
29,Tlaxcala,10,Chiautempan,10,Santa Cruz Tetela,-9812280,1917330,2668
15,México,39,Ixtapaluca,151,San Jerónimo Cuatro Vientos (San Jerónimo),-9850300,1917350,36778
14,Jalisco,49,Jilotlán de los Dolores,195,Tazumbos,-10238360,1917350,1201
29,Tlaxcala,10,Chiautempan,6,San Bartolomé Cuahuixmatlac,-9808530,1917360,3774
21,Puebla,116,Quimixtlán,16,Patlanalan,-9707060,1917370,349
21,Puebla,180,Tlahuapan,13,San Miguel Tianguistenco,-9831510,1917380,3306
16,Michoacán de Ocampo,79,Salvador Escalante,20,Cuangatzio,-10136210,1917380,434
16,Michoacán de Ocampo,9,Ario,102,Tipitarillo,-10149030,1917380,486
21,Puebla,180,Tlahuapan,18,Santa María Texmelucan,-9832160,1917390,3754
15,México,122,Valle de Chalco Solidaridad,8,Colonia Ampliación (San Miguel Tláhuac),-9857460,1917390,742
15,México,118,Zinacantepec,125,San Miguel Hojas Anchas,-9950290,1917400,848
30,Veracruz de Ignacio de la Llave,24,Tlaltetela,9,Pinillo,-9656150,1917410,792
6,Colima,2,Colima,71,El Chanal,-10342210,1917410,820
29,Tlaxcala,8,Cuapiaxtla,1,Cuapiaxtla,-9746050,1917420,8398
29,Tlaxcala,33,Tlaxcala,14,San Lucas Cuauhtelulpan,-9815320,1917420,4926
15,México,5,Almoloya de Juárez,119,Rosa Morada,-9951410,1917420,446
15,México,62,Ocoyoacac,53,Ejido San Miguel Ameyalco,-9926530,1917430,422
9,Distrito Federal,4,Cuajimalpa de Morelos,54,Puerto las Cruces (Monte las Cruces),-9920530,1917450,444
15,México,25,Chalco,13,San Marcos Huixtoco,-9851390,1917460,12229
15,México,7,Amanalco,18,San Sebastián el Grande,-10003220,1917460,859
30,Veracruz de Ignacio de la Llave,134,Puente Nacional,31,San José Chipila,-9635300,1917480,402
15,México,5,Almoloya de Juárez,166,Loma de Guadalupe,-9948070,1917480,640
21,Puebla,93,Lafragua,1,Saltillo,-9717540,1917520,761
15,México,5,Almoloya de Juárez,10,Dilatada Sur (Dilatada),-9954080,1917520,1512
30,Veracruz de Ignacio de la Llave,24,Tlaltetela,6,Monte Chico,-9655130,1917540,845
29,Tlaxcala,10,Chiautempan,8,San Rafael Tepatlaxco,-9807110,1917540,2003
15,México,62,Ocoyoacac,18,La Marquesa,-9922070,1917550,981
29,Tlaxcala,56,Santa Ana Nopalucan,1,Santa Ana Nopalucan,-9820020,1917560,6848
15,México,118,Zinacantepec,85,San Bartolo el Viejo,-9949260,1917560,3312
15,México,32,Donato Guerra,13,San Lucas Texcaltitlán,-10010020,1917560,1430
30,Veracruz de Ignacio de la Llave,24,Tlaltetela,3,Buena Vista,-9646210,1917580,299
15,México,5,Almoloya de Juárez,2,Colonia Bellavista,-9948390,1917590,1289
15,México,32,Donato Guerra,27,Ejido de San Lucas Texcaltitlán (Sabanillas),-10011070,1917590,390
15,México,62,Ocoyoacac,54,Colonia Ejidal Emiliano Zapata,-9927250,1918000,623
4,Campeche,4,Champotón,33,San Juan Carpizo,-9028110,1918010,355
